               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09569,             0.15623,            0.035558,            0.018774,             0.36661,            0.021822,           0.0066853,            0.080814,             0.10715,            0.032809,            0.070625,           0.0032639,           0.0032639
                   1,            0.087071,             0.16438,            0.030169,            0.018823,              0.3636,            0.031632,           0.0091597,            0.076269,             0.10669,            0.028046,             0.04056,           0.0065319,           0.0065319
                   2,            0.083874,             0.15951,            0.024904,            0.066631,             0.29563,            0.052651,            0.014779,            0.072651,             0.11361,            0.023279,            0.010428,           0.0097339,           0.0097339
                   3,            0.079694,             0.15847,            0.018148,             0.40469,             0.10185,            0.058513,            0.014822,            0.093105,            0.088708,            0.040833,            0.009703,            0.009703,            0.009703
                   4,            0.074699,             0.15941,            0.011383,            0.043593,              0.3865,            0.033301,           0.0096084,            0.081562,             0.11057,            0.076361,            0.009703,            0.009703,            0.009703
                   5,            0.069664,             0.15872,           0.0076335,             0.50542,             0.30142,              0.2611,            0.087553,            0.098152,            0.096698,             0.04856,            0.009604,            0.009604,            0.009604
                   6,            0.067127,             0.15019,           0.0062634,             0.23454,             0.34806,             0.18002,            0.050327,            0.088936,             0.10988,            0.030998,            0.009505,            0.009505,            0.009505
                   7,            0.062594,              0.1475,           0.0050623,              0.1997,             0.51159,             0.32219,             0.10417,            0.079366,            0.093681,            0.015675,            0.009406,            0.009406,            0.009406
                   8,            0.060767,               0.142,           0.0043848,             0.34305,             0.58863,              0.4055,             0.13056,            0.074682,             0.09277,           0.0081116,            0.009307,            0.009307,            0.009307
                   9,            0.058004,             0.13684,           0.0039688,             0.59538,              0.6244,             0.60179,             0.20113,            0.056778,            0.092598,           0.0030109,            0.009208,            0.009208,            0.009208
                  10,            0.054637,             0.13561,           0.0036276,             0.25728,             0.55015,             0.36383,              0.1217,            0.081826,            0.097137,           0.0043207,            0.009109,            0.009109,            0.009109
                  11,             0.05224,             0.13877,           0.0033351,             0.56486,             0.79619,             0.79158,             0.38265,            0.039067,            0.085335,           0.0018743,             0.00901,             0.00901,             0.00901
                  12,            0.051144,             0.13467,           0.0032157,             0.55847,             0.75868,             0.60472,              0.2605,            0.038974,            0.079507,           0.0016968,            0.008911,            0.008911,            0.008911
                  13,            0.047968,             0.13239,           0.0029903,             0.55971,             0.68216,             0.66462,             0.26288,            0.057813,             0.09522,           0.0032337,            0.008812,            0.008812,            0.008812
                  14,            0.046464,              0.1293,           0.0028814,             0.69311,             0.85162,              0.8671,             0.44763,            0.036163,             0.07857,           0.0015313,            0.008713,            0.008713,            0.008713
                  15,            0.046989,              0.1295,           0.0027658,             0.67276,              0.8391,             0.79217,             0.38251,            0.035922,            0.077048,           0.0015774,            0.008614,            0.008614,            0.008614
                  16,            0.044415,             0.13063,           0.0026076,             0.77231,             0.84117,             0.86957,             0.48665,            0.036091,            0.077151,           0.0013688,            0.008515,            0.008515,            0.008515
                  17,            0.045771,             0.13244,           0.0025344,             0.80835,             0.86669,              0.8904,             0.49398,            0.032566,            0.076885,           0.0013554,            0.008416,            0.008416,            0.008416
                  18,            0.044036,             0.12972,           0.0024713,             0.80047,             0.93552,             0.88887,              0.4657,            0.032965,            0.079447,           0.0012368,            0.008317,            0.008317,            0.008317
                  19,            0.042327,             0.12688,           0.0022763,             0.76025,             0.87964,              0.8755,             0.49596,            0.032581,            0.073709,           0.0011412,            0.008218,            0.008218,            0.008218
                  20,            0.042612,             0.12552,           0.0023801,             0.81146,             0.91877,             0.89354,             0.51304,            0.031638,            0.075849,           0.0011414,            0.008119,            0.008119,            0.008119
                  21,             0.04143,             0.12418,           0.0020325,             0.80791,             0.90248,             0.87835,               0.483,            0.032277,            0.072248,           0.0010583,             0.00802,             0.00802,             0.00802
                  22,            0.041067,             0.12708,           0.0021211,             0.83493,             0.89436,             0.89754,             0.53031,            0.030692,             0.07269,           0.0010303,            0.007921,            0.007921,            0.007921
                  23,            0.041003,             0.12458,           0.0020579,             0.77896,             0.87327,             0.89296,             0.50188,            0.029804,            0.072235,          0.00095971,            0.007822,            0.007822,            0.007822
                  24,            0.040605,              0.1263,           0.0019215,             0.81096,             0.90165,             0.88324,             0.49452,            0.034017,            0.076447,           0.0012315,            0.007723,            0.007723,            0.007723
                  25,            0.040321,             0.12409,           0.0019354,             0.80742,             0.89645,             0.89864,             0.50105,             0.03633,            0.075114,           0.0010162,            0.007624,            0.007624,            0.007624
                  26,            0.040293,             0.11915,           0.0018636,             0.82941,             0.91533,             0.91151,              0.5252,            0.030358,            0.071715,          0.00096204,            0.007525,            0.007525,            0.007525
                  27,            0.038877,             0.12148,           0.0018546,              0.7796,             0.91294,             0.90829,             0.51822,            0.029612,             0.07113,          0.00089214,            0.007426,            0.007426,            0.007426
                  28,            0.039966,             0.12769,           0.0016625,             0.83117,             0.93138,             0.91429,             0.52734,            0.029951,            0.069282,          0.00087664,            0.007327,            0.007327,            0.007327
                  29,             0.03894,             0.12304,           0.0016894,             0.85226,             0.86683,             0.89783,             0.52254,            0.032049,            0.071336,          0.00088954,            0.007228,            0.007228,            0.007228
                  30,            0.038249,             0.12082,           0.0016412,             0.84085,             0.89649,              0.9075,             0.53108,            0.031109,            0.073124,          0.00086517,            0.007129,            0.007129,            0.007129
                  31,            0.037897,             0.12164,           0.0015638,             0.83067,             0.91132,             0.90955,              0.5017,            0.031178,            0.070279,          0.00081909,             0.00703,             0.00703,             0.00703
                  32,            0.037657,             0.12134,           0.0017121,             0.84788,             0.91195,             0.91634,             0.56673,            0.027902,            0.070228,          0.00084081,            0.006931,            0.006931,            0.006931
                  33,            0.037184,             0.12169,           0.0015581,             0.82897,             0.91576,             0.91745,             0.57379,            0.028092,             0.07254,          0.00075114,            0.006832,            0.006832,            0.006832
                  34,            0.037656,             0.11906,           0.0014918,               0.819,             0.89514,              0.9141,              0.5622,            0.027626,            0.070142,          0.00075963,            0.006733,            0.006733,            0.006733
                  35,            0.036503,             0.12156,           0.0014254,             0.84768,             0.93045,             0.91938,             0.57742,            0.027556,             0.07202,          0.00071691,            0.006634,            0.006634,            0.006634
                  36,            0.036898,             0.11625,           0.0014935,              0.8275,             0.92955,             0.92036,             0.58754,            0.027545,            0.070481,          0.00074396,            0.006535,            0.006535,            0.006535
                  37,            0.036171,             0.11807,           0.0014265,             0.84859,             0.88507,             0.90309,             0.55278,            0.028386,            0.070975,           0.0007493,            0.006436,            0.006436,            0.006436
                  38,            0.037217,             0.12118,           0.0013686,              0.8259,             0.93239,             0.91157,             0.55565,            0.028633,            0.070675,          0.00069492,            0.006337,            0.006337,            0.006337
                  39,            0.036388,             0.11892,           0.0013613,             0.84861,             0.91477,             0.92313,             0.56343,            0.029106,            0.069527,          0.00064979,            0.006238,            0.006238,            0.006238
                  40,            0.036578,             0.11968,           0.0012438,             0.86093,             0.90988,              0.9196,             0.59266,            0.027911,            0.069381,          0.00062319,            0.006139,            0.006139,            0.006139
                  41,            0.035685,             0.11899,           0.0013187,             0.85383,             0.89574,             0.91874,             0.57397,            0.026959,            0.067838,           0.0006703,             0.00604,             0.00604,             0.00604
                  42,             0.03593,             0.11792,           0.0012648,             0.82756,             0.93355,             0.92178,             0.56701,            0.028333,            0.068676,          0.00066346,            0.005941,            0.005941,            0.005941
                  43,            0.035348,             0.11737,           0.0012869,             0.83254,             0.92906,             0.92522,             0.58906,            0.026409,            0.072725,          0.00060983,            0.005842,            0.005842,            0.005842
                  44,            0.035265,             0.11967,            0.001237,             0.81023,             0.88583,             0.90403,             0.58797,            0.027728,            0.073352,          0.00062042,            0.005743,            0.005743,            0.005743
                  45,            0.034622,             0.11742,           0.0012107,             0.85898,             0.90377,             0.92505,             0.59794,            0.026895,            0.067963,          0.00055364,            0.005644,            0.005644,            0.005644
                  46,            0.035056,             0.11831,           0.0012501,             0.84826,             0.87207,             0.90275,             0.56698,              0.0269,            0.069639,          0.00061221,            0.005545,            0.005545,            0.005545
                  47,            0.035104,             0.11677,            0.001195,             0.84254,             0.92444,             0.92777,             0.59486,            0.026856,             0.07064,          0.00055766,            0.005446,            0.005446,            0.005446
                  48,            0.034521,              0.1156,           0.0011617,             0.86209,             0.89194,             0.90943,             0.58153,            0.026532,            0.068624,          0.00059457,            0.005347,            0.005347,            0.005347
                  49,             0.03503,             0.11859,           0.0012207,              0.8514,             0.92498,             0.92344,             0.58089,             0.02668,            0.068182,          0.00060067,            0.005248,            0.005248,            0.005248
                  50,            0.034284,             0.11774,           0.0011013,             0.83437,              0.9272,             0.92025,             0.58995,            0.026332,            0.068848,          0.00058615,            0.005149,            0.005149,            0.005149
                  51,            0.034454,             0.11788,            0.001154,              0.8299,             0.92144,             0.91365,             0.60023,            0.026731,            0.068513,          0.00059649,             0.00505,             0.00505,             0.00505
                  52,            0.035263,             0.11701,           0.0011015,             0.81796,              0.9288,             0.91613,             0.54651,            0.028837,            0.069316,          0.00055838,            0.004951,            0.004951,            0.004951
                  53,            0.034442,             0.11822,           0.0011878,             0.84961,               0.906,             0.92156,              0.6055,            0.026383,            0.067335,          0.00059236,            0.004852,            0.004852,            0.004852
                  54,            0.033596,             0.11612,           0.0010744,             0.83695,             0.92029,             0.91891,             0.60612,            0.026704,            0.068195,          0.00054922,            0.004753,            0.004753,            0.004753
                  55,            0.033704,             0.11482,           0.0010451,             0.83726,             0.91232,             0.91773,             0.60167,            0.026217,             0.06911,          0.00053628,            0.004654,            0.004654,            0.004654
                  56,            0.033634,             0.11645,           0.0010962,             0.84524,             0.92386,             0.92241,             0.58172,            0.026021,             0.06911,          0.00055259,            0.004555,            0.004555,            0.004555
                  57,            0.034099,             0.11546,           0.0010639,             0.85409,             0.89559,             0.92349,             0.59731,            0.026136,             0.06844,          0.00054422,            0.004456,            0.004456,            0.004456
                  58,            0.033261,             0.11395,           0.0010334,             0.85195,             0.89948,              0.9246,             0.61328,            0.025552,            0.069054,          0.00049698,            0.004357,            0.004357,            0.004357
                  59,            0.032805,             0.11457,          0.00098076,             0.86008,              0.8964,             0.92219,             0.59194,            0.026449,            0.067842,          0.00051404,            0.004258,            0.004258,            0.004258
                  60,            0.033134,             0.11174,           0.0010514,             0.82983,             0.91842,             0.91797,             0.59566,            0.025831,            0.067868,          0.00056443,            0.004159,            0.004159,            0.004159
                  61,            0.032923,             0.11625,          0.00099051,             0.82514,             0.90441,             0.91438,             0.60983,            0.025619,             0.06923,          0.00056076,             0.00406,             0.00406,             0.00406
                  62,            0.033489,             0.11714,            0.001076,             0.82831,             0.93963,              0.9196,              0.5971,             0.02597,            0.067387,          0.00054647,            0.003961,            0.003961,            0.003961
                  63,            0.033166,             0.11475,          0.00093976,             0.84617,             0.90874,              0.9193,             0.60275,            0.025953,            0.066733,          0.00054088,            0.003862,            0.003862,            0.003862
                  64,            0.032764,             0.11372,           0.0010265,             0.85789,             0.87696,             0.91851,             0.59189,            0.026287,             0.06755,          0.00053518,            0.003763,            0.003763,            0.003763
                  65,            0.032798,             0.11571,          0.00089175,             0.84429,             0.91792,              0.9132,             0.59022,            0.025858,            0.071109,          0.00051673,            0.003664,            0.003664,            0.003664
                  66,            0.032617,             0.11346,           0.0010191,             0.84099,             0.93744,             0.92423,             0.60352,            0.025866,             0.06902,          0.00053678,            0.003565,            0.003565,            0.003565
                  67,            0.032147,             0.11002,           0.0009122,             0.84466,             0.91485,             0.92232,             0.61841,            0.025563,            0.068031,          0.00052119,            0.003466,            0.003466,            0.003466
                  68,            0.032314,             0.11133,          0.00089503,             0.85056,             0.92313,             0.92702,             0.61758,            0.025816,            0.066398,          0.00051901,            0.003367,            0.003367,            0.003367
                  69,            0.032639,             0.11329,           0.0008796,             0.84598,              0.9229,             0.92242,             0.61349,            0.025823,            0.066759,          0.00051008,            0.003268,            0.003268,            0.003268
                  70,            0.031976,             0.11381,          0.00088844,             0.83522,             0.92534,             0.91729,             0.60759,            0.025276,            0.069634,          0.00049405,            0.003169,            0.003169,            0.003169
                  71,            0.031825,             0.11177,          0.00089584,             0.86056,             0.90734,             0.92448,             0.60948,            0.025779,            0.069316,          0.00048175,             0.00307,             0.00307,             0.00307
                  72,            0.031693,             0.11028,          0.00082506,             0.86594,             0.90192,              0.9257,             0.62204,            0.025582,            0.066974,          0.00046634,            0.002971,            0.002971,            0.002971
                  73,            0.032337,             0.11164,          0.00089039,             0.84175,             0.91404,             0.91625,             0.61628,            0.025384,            0.068379,          0.00046368,            0.002872,            0.002872,            0.002872
                  74,            0.032222,             0.11265,           0.0008586,             0.85205,             0.92106,             0.92056,             0.61216,            0.025554,            0.065839,           0.0004709,            0.002773,            0.002773,            0.002773
                  75,            0.031957,             0.10913,          0.00091259,             0.85438,             0.92052,             0.91845,              0.5998,            0.025514,            0.067559,          0.00046417,            0.002674,            0.002674,            0.002674
                  76,            0.031599,             0.11255,          0.00082195,             0.86135,             0.89604,             0.91683,             0.61724,            0.025534,            0.067159,          0.00047975,            0.002575,            0.002575,            0.002575
                  77,            0.031635,             0.11061,          0.00083914,             0.85971,             0.90852,              0.9183,             0.61948,            0.025344,            0.069304,          0.00043581,            0.002476,            0.002476,            0.002476
                  78,            0.032029,             0.11374,          0.00092774,             0.85581,             0.90671,               0.918,             0.60775,            0.025535,            0.068422,          0.00044184,            0.002377,            0.002377,            0.002377
                  79,            0.031518,             0.11161,          0.00086364,              0.8463,             0.91836,             0.91631,             0.60856,            0.025236,            0.067069,          0.00044511,            0.002278,            0.002278,            0.002278
                  80,            0.031329,             0.11173,          0.00083983,             0.84999,             0.92136,              0.9207,             0.60494,             0.02569,            0.068457,          0.00046467,            0.002179,            0.002179,            0.002179
                  81,            0.031121,             0.10709,          0.00088094,             0.86802,             0.89605,               0.921,             0.60662,            0.025355,            0.068173,          0.00044263,             0.00208,             0.00208,             0.00208
                  82,            0.031264,              0.1095,          0.00081172,              0.8457,             0.90534,             0.91779,             0.59773,            0.025391,            0.069265,          0.00043145,            0.001981,            0.001981,            0.001981
                  83,            0.031194,             0.10963,          0.00082386,              0.8671,             0.87588,              0.9193,             0.62266,            0.025237,            0.067971,          0.00044308,            0.001882,            0.001882,            0.001882
                  84,            0.031206,             0.11201,          0.00075702,             0.85058,             0.88622,             0.91549,             0.61378,            0.025448,            0.068663,          0.00044545,            0.001783,            0.001783,            0.001783
                  85,            0.031265,             0.11095,          0.00080831,              0.8564,             0.88261,             0.91657,             0.61642,            0.025193,            0.066987,          0.00045429,            0.001684,            0.001684,            0.001684
                  86,            0.030931,              0.1095,          0.00081177,             0.84865,             0.90423,             0.91927,             0.61375,            0.025306,            0.071229,          0.00044755,            0.001585,            0.001585,            0.001585
                  87,            0.031132,             0.10748,           0.0008148,              0.8333,             0.92168,             0.91782,             0.61518,            0.025152,            0.067649,          0.00046279,            0.001486,            0.001486,            0.001486
                  88,            0.031139,             0.10961,          0.00074354,             0.85506,             0.90648,             0.91868,             0.61506,            0.025127,            0.067026,          0.00046175,            0.001387,            0.001387,            0.001387
                  89,            0.031288,             0.11064,           0.0007575,             0.85145,             0.89579,              0.9156,               0.615,            0.025342,             0.06767,          0.00043579,            0.001288,            0.001288,            0.001288
                  90,            0.031017,             0.10908,          0.00078177,              0.8497,             0.90412,             0.91603,             0.61856,            0.025044,            0.067842,          0.00043183,            0.001189,            0.001189,            0.001189
                  91,            0.031423,             0.11003,          0.00074307,             0.85832,             0.89296,             0.91933,             0.61235,            0.025167,            0.067357,          0.00043307,             0.00109,             0.00109,             0.00109
                  92,            0.030725,             0.10814,          0.00078118,             0.85719,             0.91078,             0.92005,              0.6219,            0.025125,            0.068573,          0.00043865,            0.000991,            0.000991,            0.000991
                  93,            0.030911,             0.10584,          0.00082572,             0.83042,             0.92004,             0.91686,              0.6098,            0.025528,              0.0677,          0.00041795,            0.000892,            0.000892,            0.000892
                  94,            0.031395,             0.11119,          0.00079703,             0.84813,             0.90157,             0.91338,             0.61572,            0.025111,            0.068457,          0.00045263,            0.000793,            0.000793,            0.000793
                  95,            0.030736,             0.10853,          0.00072859,             0.85438,             0.90363,             0.91618,               0.612,            0.025052,            0.067619,          0.00043937,            0.000694,            0.000694,            0.000694
                  96,            0.030879,             0.11141,          0.00081827,             0.86536,             0.89626,             0.91627,             0.61989,            0.025126,            0.067004,          0.00044696,            0.000595,            0.000595,            0.000595
                  97,            0.030572,             0.10617,          0.00073371,             0.86575,             0.88507,             0.91278,             0.61844,            0.025062,            0.067034,          0.00046446,            0.000496,            0.000496,            0.000496
                  98,            0.030838,             0.10985,          0.00071047,             0.85495,             0.90101,             0.91433,             0.61283,            0.025084,               0.067,          0.00045237,            0.000397,            0.000397,            0.000397
                  99,            0.031019,              0.1077,          0.00074116,             0.85951,              0.8917,             0.91202,             0.61739,            0.025089,             0.06718,          0.00045494,            0.000298,            0.000298,            0.000298
